Nombre,Dirección,Servicios
B&B Gym Boutique,"C. Duque de Rivas 1
                                , Sevilla","Servicio de nutrición y dietética, Pilates, Yoga, Gimnasio"
AGGA Energy,", Sevilla","Zumba, Yoga, Gimnasio"
Shushu Pole Fitness,"C. Pirita 3
                                , Sevilla",Gimnasio
PaddleBoard Sevilla,", Sevilla",Gimnasio
Club tenis rio grande,"C. Fuenteclara 54
                                , Mairena del Aljarafe","Pistas de tenis, Pistas de pádel, Campos de fútbol, Piscina, Gimnasio"
Namaskar Yoga y Pilates,", Bormujos","Pilates, Yoga, Entrenamientos personalizados, Gimnasio"
ESCUELA NS TENIS SEVILLA,"Calle la Salud
                                , Sevilla","Clases de tenis, Gimnasio"
Boxeosuarez,"C. Virgen de Covadonga
                                , Dos Hermanas","Boxeo, Gimnasio"
El Klub de la lucha,"Terral 8
                                , Dos Hermanas",Gimnasio
Club Boxeo Dos Hermanas,"Calle Pintor Amalio G. del Moral 23
                                , Dos Hermanas","Boxeo, Gimnasio"
Lilãyati Yoga,"Av. Juan Pablo II s/n
                                , Olivares","Yoga, Gimnasio"
Gimnasio Alcides,"C. Barrera de San Gregorio 4
                                , Écija",Gimnasio
"Mufit 2 - Entrenamiento, nutrición y fisioterapia","Av. del Olivar 21
                                , Tomares","Fisioterapeuta deportivo, Servicio de nutrición y dietética, Entrenamientos personalizados, Gimnasio"
Yoga Loft Tomares,"Av. Blas Infante 1
                                , Tomares","Yoga, Gimnasio"
Club de Tenis Manolo Cabeza,", Los Palacios y Villafranca","Clases de pádel, Actividades dirigidas, Pistas de pádel, Gimnasio"
Pilates personal,"C. Murillo 11
                                , La Algaba","Pilates, Entrenamientos personalizados, Gimnasio"
INSSAI CENTRO DE YOGA,"Av. de Europa 72
                                , Gines","Yoga, Gimnasio"
Commonyoga,"Plaza Virgen de Roncesvalles 2
                                , Bollullos de la Mitación","Yoga, Gimnasio"
Gimnasio Gala,"Calle Dra. Doña Ana María Álvarez Silván 6
                                , Sanlúcar la Mayor",Gimnasio
C. D. Boxeo Mairena,"Av. Vereda de San Agustín número 33
                                , Mairena del Alcor","Boxeo, Gimnasio"
Clínica Salas Lluch,"Av. Palomares 100
                                , Coria del Río","Fisioterapeuta deportivo, Gimnasio, Sala HBX"
La V de Pilates,"C. Marismas 36
                                , La Puebla del Río","Pilates, Gimnasio"
Aerialdreams,"C. Trastámara 31
                                , Sevilla",Gimnasio
Centrovitas Yogashala,"C. Clarín
                                , Bollullos de la Mitación","Actividades dirigidas, Yoga, Hipopresivos, Gimnasio"
SMONKER TEAM,"C. Arrieros 4
                                , Écija",Gimnasio
Club Deportivo Simón Verde Family sport center,", Gelves","Actividades dirigidas, Gimnasio, Sala Fitness"
Gimnasio SDUPO,", Dos Hermanas","Actividades dirigidas, Gimnasio"
Box 909,"C. Carpinteros 20
                                , Valencina de la Concepción","Cross Training, Gimnasio"
Mugiwara Crossfit,"C. Siroco 29
                                , Dos Hermanas","CrossFit, Servicio de nutrición y dietética, Gimnasio"
Morón Fitness Center,"C. Gutemberg 2
                                , Morón de la Frontera",Gimnasio
Cross Reindeer,"C. Rotativa Numero 9
                                , Morón de la Frontera","CrossFit, Gimnasio"
CURVES TRIANA 41010,"C. Alfarería 136
                                , Sevilla",Gimnasio
DTD crossfit,"C. Thomas Edison 4
                                , La Rinconada","CrossFit, Gimnasio"
La Jungla Workout,"C. Uranio 12
                                , Sevilla",Gimnasio
Sala 17 Dance & Fitness Center,"C. Balbino Marrón 6
                                , Sevilla","CrossFit, Actividades dirigidas, Zumba, Gimnasio"
CFS Box Sevilla,"C. Pino Siberia 9
                                , Sevilla","Entrenamientos personalizados, Entrenamiento Funcional, Gimnasio"
BUSHIDO coria Del Río,"Calle Gran Avenida 39
                                , Coria del Río","Entrenamientos personalizados, Gimnasio"
Gimnasio Seul Pilas,"Calle Bodegas 14
                                , Pilas",Gimnasio
Planet Gym Sport (Pilas),"Av. el Aljarafe 35
                                , Pilas","Entrenamientos personalizados, Gimnasio"
Siluette Woman Gimnasio femenino,"Calle Martínez Montañés 2
                                , Santiponce",Gimnasio
MOVELAB,"Calle Salado 24
                                , Sevilla","Fisioterapeuta deportivo, Entrenamientos personalizados, Gimnasio"
Club Boxeo Utrera,"Calle Cristo de los Afligidos 33
                                , Utrera","Boxeo, Gimnasio"
Factor Fitness,"Calle Paradas
                                , Arahal",Gimnasio
Aire Fit Sevilla,", Sevilla","HIIT, Entrenamientos personalizados, Gimnasio, Vestuarios, Tienda deportiva"
Box 300,"Calle Nueva 121
                                , Los Palacios y Villafranca",Gimnasio
Gimnasio Olimpo S.C.,"Calle Antonio Álvarez Aguilar 70
                                , Lebrija",Gimnasio
"QUINESALUD Entrenamiento Personal, Nutrición y Fisioterapia.",", Sevilla","Fisioterapeuta deportivo, Servicio de nutrición y dietética, Pilates, Gimnasio"
Toca Sport Guillena,"Calle Arantxa Sánchez Vicario 1
                                , Guillena","Actividades dirigidas, Spinning, Gimnasio"
Escuela de pilates y movimiento,"Calle Real n° 39
                                , Gelves","Pilates, Gimnasio"
KG Fit,"Calle Sosa 6
                                , Osuna","Piscina, Gimnasio"
Club De Escalada Arahal,"Calle Algeciras 10
                                , Arahal",Gimnasio
Atenas Training Center,"Calle Macenas 32
                                , Lebrija",Gimnasio
Gimnasio Live's Fitness,"Av. José María Tomasetti 33
                                , Lebrija","Servicio de nutrición y dietética, Gimnasio"
Pilates Studio Sevilla,"Calle Comercio 8
                                , Mairena del Aljarafe","Pilates, Gimnasio"
Bronze Cross Box,"Plaza De Las Naciones 14
                                , Mairena del Aljarafe","Gimnasio, Vestuarios"
Body Perfect,"Calle Andalucía 56
                                , La Rinconada",Gimnasio
CUORE FITNESS,"Calle Constitución 17
                                , Los Palacios y Villafranca",Gimnasio
Corpore,"Av. de los Palacios 14
                                , Utrera","Entrenamientos personalizados, Gimnasio"
Sano Dos Hermanas,"Av. los Pirralos 35
                                , Dos Hermanas","Entrenamientos personalizados, Gimnasio"
Esenzia Pilates,"Alameda de Sta. Eufemia 24
                                , Tomares","Pilates, Gimnasio"
MAS Pilates Center,"C. Arcos 46
                                , Lebrija","Tonificación, Pilates, Gimnasio"
Club Deportivo El Gato - Escuela de Artes Marciales y Centro de Pilates y Yoga,"C. Gordales Nave 2-2
                                , Bormujos","Defensa Personal, Pilates, Yoga, Gimnasio"
TotalFitness,"Poligono Saur 25
                                , La Campana",Gimnasio
Gimnasio Body Master,"Av. Cristobal Colon 51
                                , Dos Hermanas",Gimnasio
Ntra Sra Del Carmen Panificadora Moderna Gimnasio,"Calle Vía Marciala 33
                                , Utrera",Gimnasio
CENTRO DE YOGA NATURA EN TOMARES,", Tomares","Yoga, Gimnasio"
Campo Castilleja,"Av. Antonio Mairena 3
                                , Castilleja de la Cuesta",Gimnasio
AquaFit Wellness Center,"Camino el Chato 15
                                , Brenes",Gimnasio
GOLD CENTER FITNESS,"Av. de Gines 14
                                , Bollullos de la Mitación",Gimnasio
Gimnasio Alcaria,"Calle Juncales 4
                                , La Puebla del Río",Gimnasio
Polideportivo Municipal Mascareta O Rocódromo,"Av. del Aljarafe 1D
                                , Tomares","Piscina, Gimnasio"
HETRA Entrenamiento,"Calle Pablo Picasso 11
                                , La Algaba",Gimnasio
YTÍNERE,"Calle Nueva 39
                                , Mairena del Aljarafe","Entrenamientos personalizados, Gimnasio"
Gimnasio Physio,"Calle Castilla 6
                                , Utrera",Gimnasio
Spartan Classic Crosstraining Center,"C. Umbrete 25
                                , Palomares del Río","Cross Training, Gimnasio"
CrossFit Kamikaze,"Av. de El Viso del Alcor
                                , El Viso del Alcor","CrossFit, Gimnasio, Aparcamiento"
Tenis de mesa Gines,", Gines",Gimnasio
zona10 zumba studio & fitness,"Av. las Doblas 15
                                , Sanlúcar la Mayor","Zumba, Gimnasio"
Atai Sport Club,"Av. del Barrerillo S/N
                                , Bormujos","Actividades dirigidas, Boxeo, GAP, Gimnasio"
BrenSport,"Calle Genil 55B
                                , Arahal",Gimnasio
Up Centro Deportivo,"Ctra. el Rubio 775
                                , Estepa",Gimnasio
Revolution Physique - Centro de Entrenamiento Personal,"Calle Marques del Nervion 32
                                , Sevilla","Entrenamientos personalizados, Gimnasio"
